b2,b1,m1,m2,m3,m4,code
n,n,c,c,b,a,am
n,am,b,b,g,g,em
am,em,a,a,b,c,f
em,f,g,g,g,g,c
n,n,e,d,e,f,c
n,g,g,g,d,d,g
c,g,c,b,c,d,am
g,am,e,e,e,e,em
n,n,e,e,d,d,am
n,am,c,c,c,e,f
am,f,d,d,c,b,g
f,g,c,c,c,n,c
f,c,a,a,g,f,f
c,f,g,g,e,e,c
g,f,af,af,af,af,e
n,c,d,d,e,f,dm
n,n,c,c,e,e,am
n,c,b,b,d,a,g
n,n,c,c,c,c,c
n,am,e,e,g,g,em
am,em,a,a,g,f,f
em,f,g,g,e,d,c
f,g,c,c,c,n,am
n,am,c,c,b,b,g
am,g,a,a,g,f,f
g,f,g,g,e,e,em
n,am,c,b,a,a,f
c,c,d,c,b,c,g
f,g,b,c,d,e,em
n,n,c,c,c,b,am
n,am,c,c,e,e,am
am,am,b,b,b,b,em
am,em,b,b,e,e,em
em,em,a,a,a,g,f
em,f,a,a,c,c,f
f,f,g,g,g,g,c
f,c,g,g,e,e,c
c,c,f,f,f,e,dm
c,dm,f,f,c,c,dm
dm,dm,e,e,e,e,am
dm,am,e,c,c,c,am
an,am,c,b,a,a,f
am,f,b,b,af,af,e
f,e,a,a,a,n,am
n,n,e,e,e,d,c
n,c,e,e,g,g,c
c,c,d,d,d,d,g
c,c,b,b,b,b,g
c,c,d,d,d,d,g
c,g,d,d,g,g,g
g,g,c,c,c,b,am
g,am,c,c,e,e,am
am,am,e,e,e,e,em
am,em,e,e,n,n,em
em,em,a,b,c,c,f
em,f,b,c,d,d,g
f,g,c,c,c,g,c
g,c,g,g,g,g,c
c,c,f,f,e,e,dm
c,dm,d,d,c,c,dm
dm,dm,e,e,e,e,e
e,e,a,a,a,a,am
e,am,g,g,g,g,am
am,am,e,d,c,c,f
am,f,c,c,c,c,f
f,f,d,d,c,d,g
f,g,d,d,g,g,g
n,c,d,d,d,g,g
c,g,g,g,g,d,g
g,g,c,c,c,e,c
g,c,f,f,f,c,f
c,f,b,b,a,g,g
n,n,e,e,d,d,c
n,n,c,c,e,e,c
c,c,d,d,g,g,g
c,g,g,g,g,g,g
g,g,a,a,b,b,am
g,am,c,c,a,a,am
am,am,b,b,b,b,em
am,em,e,e,e,e,em
n,n,e,d,c,e,c
n,c,d,g,g,g,g
c,g,a,b,c,a,am
g,am,b,b,e,e,em
am, em,f,g,a,f,f
em,f,g,c,c,c,c
f,c,a,b,c,a,f
c,f,e,e,d,d,g
n,am,c,b,a,c,am
am,am,c,b,b,b,g
am,g,b,b,b,b,g
g,g,a,a,a,a,f
g,f,a,g,f,a,f
n,n,c,c,c,c,f
n,f,c,c,c,c,f
f,f,c,c,d,d,g
f,g,d,d,d,d,g
g,g,d,d,d,d,em
em,em,d,d,e,e,am
em,em,e,e,e,e,am
n,n,c,d,e,f,c
n,c,g,g,e,e,c
c,c,d,d,d,g,g
c,g,g,g,g,g,g
g,g,a,a,b,b,am
g,am,c,c,e,e,am
am,am,b,b,b,b,em
g,c,e,e,d,d,am
c,am,c,c,c,e,f
am,f,d,c,c,b,g
f,g,c,c,c,d,c
n,n,a,a,a,a,am
n,am,e,e,e,e,am
am,am,d,d,d,d,g
am,g,e,d,c,b,g
g,g,a,a,a,a,f
g,f,g,g,a,g,f
f,f,e,e,e,e,em
f,em,e,e,n,n,em
c,c,f,f,d,b,dm
c,dm,b,b,g,f,g
c,c,e,d,d,f,dm
c,dm,f,f,f,f,dm
g,em,f,e,d,c,f
em,f,d,e,d,c,g
f,g,c,c,c,c,c
n,c,af,e,d,e,e
c,f,b,b,af,af,e
dm,f,c,g,g,e,c
f,c,f,e,c,e,f
c,f,d,d,e,g,g
n,n,n,n,n,n,n
n,n,c,c,b,a,am
f,em,d,d,a,a,dm
em,dm,e,e,a,a,am
am,am,af,af,af,af,e
am,g,d,e,e,e,em
em,em,n,n,n,n,n
f,g,n,n,n,n,n
n,c,e,g,g,a,c
n,n,g,g,g,c,c
n,n,c,c,c,g,c
c,g,g,g,g,a,em
em,g,a,a,a,a,am
g,g,c,c,c,e,c
c,f,af,af,af,n,e
g,am,e,e,c,b,em
em,f,b,a,af,b,e
n,n,e,a,e,d,am
f,c,c,c,b,c,am
g,g,n,c,c,c,am
n,f,c,c,c,c,f
n,n,c,c,c,c,am
am,f,c,g,g,g,c
am,em,e,e,e,f,am
am,am,e,e,d,c,c
am,am,g,c,c,b,c
n,n,c,c,c,c,am
n,am,c,c,c,b,am
am,c,a,g,g,g,g
n,n,n,e,e,e,c
dm,dm,n,d,d,d,g
g,g,d,c,b,c,em
f,c,d,f,a,c,dm
n,f,c,c,c,d,f
n,n,c,c,c,c,c
n,n,n,e,g,c,c
c,g,c,d,e,c,am
g,f,c,c,c,g,c
am,am,c,d,e,f,c
c,c,c,d,e,f,am
em,f,c,c,c,c,c
c,f,e,e,e,e,em
c,c,g,g,g,g,em
c,dm,d,d,d,d,g
c,c,g,g,c,b,em
g,g,g,g,f,f,c
em,f,e,e,c,b,c
f,g,g,g,c,b,c
em,f,a,g,a,g,f
f,am,n,n,d,c,em
am,em,d,d,d,d,dm
am,em,b,b,c,a,em
